platform,agency,url,date_sampled,likes
Facebook,MOME,http://www.facebook.com/NYCMINY,08/08/2011 12:00:00 AM,
Facebook,NYC Gov,http://www.facebook.com/nycgov,08/08/2011 12:00:00 AM,
Facebook,NYCCFB,http://www.facebook.com/nycvotes,08/08/2011 12:00:00 AM,
Facebook,NYPD,https://www.facebook.com/NYPD,08/08/2011 12:00:00 AM,
Facebook,DRIS,http://www.facebook.com/NycDeptOfRecords,08/08/2011 12:00:00 AM,
Facebook,DRIS,http://www.facebook.com/MayorEdKochNYCRecords,08/08/2011 12:00:00 AM,
Facebook,DRIS,http://www.facebook.com/MayorJohnLindsayNYCRecords,08/08/2011 12:00:00 AM,
Facebook,DRIS,http://www.facebook.com/MayorFiorelloLaGuardiaNYCRecords,08/08/2011 12:00:00 AM,
Flickr,LMEC,http://www.facebook.com/pages/New-York-NY/Latin-Media-and-Entertainment-Week/122259604487271,08/08/2011 12:00:00 AM,151
Flickr,DEP,http://www.flickr.com/photos/nycep,08/08/2011 12:00:00 AM,
Flickr,DOB,http://www.flickr.com/photos/nyc_buildings/,08/08/2011 12:00:00 AM,
Flickr,DOE,http://www.flickr.com/photos/nycschools,08/08/2011 12:00:00 AM,
Flickr,DOITT,http://www.flickr.com/photos/nyc_doitt,08/08/2011 12:00:00 AM,
Flickr,DOT,http://www.flickr.com/photos/nycstreets,08/08/2011 12:00:00 AM,
Flickr,DPR,http://www.flickr.com/photos/nycparks/,08/08/2011 12:00:00 AM,
Flickr,DSNY,http://flickr.com/nycrecyclemore,08/08/2011 12:00:00 AM,
Flickr,EDC,http://www.flickr.com/nycedc,08/08/2011 12:00:00 AM,
Flickr,FDNY,http://www.flickr.com/groups/fdny-ems,08/08/2011 12:00:00 AM,
Flickr,HHC,http://www.flickr.com/hhcnyc,08/08/2011 12:00:00 AM,
Flickr,LMEC,http://www.flickr.com/photos/nyclatinmedia/,08/08/2011 12:00:00 AM,
Flickr,LPC,http://www.flickr.com/photos/nyclandmarks,08/08/2011 12:00:00 AM,
Flickr,Materials for the Arts,http://www.flickr.com/photos/materialsforthearts,08/08/2011 12:00:00 AM,
Flickr,Mayor's Office,http://www.flickr.com/photos/nycmayorsoffice/,08/08/2011 12:00:00 AM,
Flickr,NYC Digital,http://www.flickr.com/photos/nycdigital/,08/08/2011 12:00:00 AM,
Flickr,NYCHA,http://www.flickr.com/photos/nychapics,08/08/2011 12:00:00 AM,
Flickr,PlaNYC,http://www.flickr.com/photos/planyc/,08/08/2011 12:00:00 AM,
Flickr,Prob,http://www.flickr.com/photos/nycprobation/,08/08/2011 12:00:00 AM,
Flickr,SnowUpdate,http://www.flickr.com/groups/1604085@N23/,08/08/2011 12:00:00 AM,
Flickr,HRA,http://www.flickr.com/people/nychra/,08/08/2011 12:00:00 AM,
Flickr,DSNY,http://www.flickr.com/photos/86722064@N03/,08/08/2011 12:00:00 AM,
Foursquare,GreeNYC,http://foursquare.com/birdie_nyc,08/08/2011 12:00:00 AM,53
Foursquare,DOH,https://foursquare.com/nychealthy,08/08/2011 12:00:00 AM,
Foursquare,DOT,http://foursquare.com/user/7474166,08/08/2011 12:00:00 AM,
Foursquare,DPR,https://foursquare.com/nycparks,08/08/2011 12:00:00 AM,
Newsletter,OEM,,10/04/2011 12:00:00 AM,
Foursquare,FDNY,https://foursquare.com/fdny,08/08/2011 12:00:00 AM,
Foursquare,Materials for the Arts,https://foursquare.com/mftanyc,08/08/2011 12:00:00 AM,
Foursquare,NYC Gov,http://foursquare.com/nycgov,08/08/2011 12:00:00 AM,
Foursquare (Badge Unlock),NYC Gov,https://foursquare.com/nycgov,08/08/2011 12:00:00 AM,
Foursquare,NYCHA,https://foursquare.com/nycha,08/08/2011 12:00:00 AM,
Instagram,Mayor's Office,http://web.stagram.com/n/nycmayorsoffice,08/08/2011 12:00:00 AM,
Instagram,DOT,http://web.stagram.com/n/nyc_dot,08/08/2011 12:00:00 AM,
iPhone,DOH,http://itunes.apple.com/us/app/abceats/id502867547?mt=8,08/08/2011 12:00:00 AM,
iPhone App,311,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,08/08/2011 12:00:00 AM,16879
iPhone app,DOH,http://itunes.apple.com/app/nyc-condom-finder-by-nyc-health/id418902795,08/08/2011 12:00:00 AM,8041
iPhone App,DSNY,http://itunes.apple.com/us/app/nycrecycles/id445457149?ls=1&mt=8,08/08/2011 12:00:00 AM,171
iPhone App,DSNY,http://itunes.apple.com/us/app/stuff-ex/id445438603?ls=1&mt=8,08/08/2011 12:00:00 AM,142
iPhone app,DOT,You The Man,08/08/2011 12:00:00 AM,2635
iPhone App,Mayor's Office,http://itunes.apple.com/us/app/nyc-city-hall/id375398827?mt=8,08/08/2011 12:00:00 AM,3186
iPhone App,MOME,http://itunes.apple.com/us/app/nyc-media-app/id433177943?mt=8,08/08/2011 12:00:00 AM,944
